OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.971344-0.12473690509796143" 
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.971344-0.11909907311201096" 
1, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.971344-0.18256939947605133" 
1, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.971344+0.16734682023525238" 
1, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.971344+0.14899815618991852" 
1, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.971344+0.11022497713565826" 
1, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.971344+0.15217156708240509" 
1, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.971344+0.24947381019592285" 
1, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.971344+0.23819814622402191" 
1, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.971344+0.36513879895210266" 
1, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.971344+0.08367341011762619" 
1, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.971344+0.074499078094959259" 
1, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.971344+0.055112488567829132" 
1, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.971344+0.076085783541202545" 
1, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.971344+0.12473690509796143" 
1, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.971344+0.11909907311201096" 
1, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.971344+0.18256939947605133" 
2, comb, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.918394" 
2, comb, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.918394" 
2, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.918394-0.11640004813671112" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.918394-0.10708390921354294" 
2, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.918394-0.081661149859428406" 
2, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.918394-0.20575152337551117" 
2, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.918394-0.18932536244392395" 
2, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.918394-0.56019169092178345" 
2, comb, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.918394-0.45101282000541687" 
2, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.918394-0.05820002406835556" 
2, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.918394-0.053541954606771469" 
2, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.918394-0.040830574929714203" 
2, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.918394-0.10287576168775558" 
2, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.918394-0.094662681221961975" 
